,id,qol_1,qol_2,qol_3,qol_4,qol_5,qol_6,qol_7,qol_8,qol_9,qol_10,qol_11,qol_12,qol_13,qol_14,qol_15,qol_16,qol_17,qol_18,qol_19,qol_20,qol_21,qol_22,qol_23,qol_24,qol_25,qol_26
0,17/20,3,1,3,1,3,3,3,3,2,3,4,4,3,2,3,2,3,4,3,1,5,2,3,4,2,4
1,17/1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5,5,5,5,1
2,17/10,5,5,3,3,5,5,3,2,4,5,1,2,2,2,2,5,4,5,4,5,2,5,3,5,2,3
3,17/11,3,3,4,1,4,3,3,3,3,3,3,3,5,3,2,4,4,4,4,2,1,3,3,4,4,4
4,17/12,3,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,3,4,3,4,3,4,3,3,3,3
5,17/13,4,5,3,2,5,4,3,3,5,4,4,4,4,3,3,4,4,4,4,3,1,4,4,4,5,2
6,17/16,4,3,2,1,5,5,4,5,4,4,2,4,4,4,5,4,3,3,5,5,5,5,4,5,5,2
7,17/17,4,4,1,1,5,5,4,4,5,4,5,4,5,4,4,5,5,5,5,4,1,5,5,5,5,2
8,17/19,3,4,2,1,2,3,3,4,4,4,4,4,5,2,2,3,3,3,3,3,3,3,3,5,3,2
9,17/21,3,4,2,1,4,4,4,4,4,4,4,5,5,3,3,3,4,4,4,4,3,1,5,3,3,3
10,17/22,5,4,1,1,5,5,3,4,4,4,4,4,5,3,4,5,5,5,5,5,5,5,5,5,5,1
11,17/24,4,3,3,4,3,2,3,2,3,3,4,3,4,3,3,2,3,3,2,2,4,4,3,4,4,5
12,17/25,5,5,1,1,5,5,4,4,5,5,5,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5
13,17/26,4,4,2,1,5,5,4,4,4,4,5,5,4,4,5,4,4,4,5,5,1,5,5,5,4,1
14,17/33,4,4,2,1,5,5,4,5,3,3,3,3,2,4,3,3,4,5,5,3,5,5,3,5,5,3
15,17/38,3,3,2,1,3,2,3,4,3,4,2,4,4,3,2,2,3,3,3,4,4,4,1,3,5,3
16,17/39,4,4,1,1,4,4,4,4,4,4,4,2,4,2,3,4,4,4,4,4,2,2,3,3,3,3
17,17/4,4,4,2,1,5,4,3,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,5,5
18,17/40,5,4,1,1,4,4,3,5,4,5,4,5,5,4,5,5,5,5,5,5,1,5,5,5,5,2
19,17/41,4,1,5,5,1,2,4,3,1,1,2,4,5,2,1,1,2,2,1,1,1,3,4,5,4,4
20,17/45,4,4,2,2,4,4,4,4,4,4,5,5,5,3,4,5,4,4,4,5,1,5,5,5,5,3
21,17/46,5,4,3,4,5,5,5,4,4,5,4,4,5,4,4,3,3,3,4,3,1,5,5,5,4,2
22,17/47,4,4,2,2,5,4,4,5,4,4,5,4,4,4,4,5,4,5,4,3,4,4,4,5,4,4
23,17/48,3,3,3,4,3,4,2,2,2,3,2,2,5,5,3,2,2,2,3,3,4,4,5,5,5,3
24,17/49,5,5,1,2,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
25,17/5,3,2,2,1,4,3,3,4,4,5,4,3,3,4,4,4,2,3,3,4,3,4,4,4,3,2
26,17/50,3,4,1,1,4,4,3,3,4,2,4,2,5,4,4,4,3,3,3,4,4,5,3,4,4,3
27,17/51,3,3,4,1,1,3,3,3,3,2,4,2,5,1,1,4,3,3,1,1,5,3,2,4,4,5
28,17/52,4,3,2,2,4,4,4,4,4,3,3,4,4,4,4,3,3,3,3,4,1,3,4,3,4,2
29,17/53,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,5,2
30,17/54,4,4,1,1,4,4,3,4,3,3,3,2,3,3,5,4,3,3,3,3,3,3,2,3,4,1
31,17/7,2,2,3,2,4,4,3,4,4,4,3,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4
32,20/1,4,4,3,1,3,4,3,4,2,3,3,5,5,3,2,4,3,4,4,4,1,5,3,3,3,2
33,20/10,3,3,2,2,3,4,3,4,4,2,4,4,2,2,4,4,2,2,3,2,3,2,4,4,4,4
34,20/103,4,3,5,2,4,4,3,5,3,4,5,5,2,4,4,2,3,4,4,3,1,4,1,5,1,5
35,20/116,4,3,3,1,4,5,4,4,4,4,5,4,5,4,5,5,4,4,5,4,1,4,5,5,4,3
36,20/117,3,1,3,1,3,3,2,3,3,2,2,3,5,2,3,2,2,2,2,3,3,3,3,3,3,3
37,20/118,4,2,4,3,4,3,3,3,4,4,3,3,4,2,3,3,3,2,3,3,1,4,3,3,2,3
38,20/119,3,2,2,1,4,3,4,2,3,3,2,1,5,3,4,4,3,3,2,3,5,3,5,5,4,5
39,20/12,3,4,4,1,2,4,4,4,4,3,4,1,1,2,2,2,1,4,1,1,1,3,1,1,1,1
40,20/126,3,3,5,2,4,3,2,2,3,3,2,2,4,4,3,4,3,2,3,3,3,4,3,4,4,2
41,20/129,4,4,4,1,5,3,4,5,4,5,5,5,4,5,5,5,5,5,5,4,1,5,3,4,5,4
42,20/13,3,2,4,1,5,5,3,5,3,5,5,3,4,4,4,5,5,3,3,4,1,5,3,3,3,2
43,20/132,3,3,3,2,3,4,3,4,3,4,2,4,4,4,3,3,3,3,3,1,1,4,3,3,2,2
44,20/133,5,3,4,2,5,4,3,5,5,4,4,3,3,4,2,4,3,3,4,4,4,4,4,4,5,4
45,20/134,2,3,4,1,1,2,3,2,3,4,3,5,5,2,4,3,3,2,1,4,1,3,4,4,4,5
46,20/16,3,3,4,2,2,3,3,4,3,2,5,5,4,2,3,3,3,3,2,3,1,3,4,4,3,3
47,20/18,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,4,3,3,4,3
48,20/19,3,3,4,2,4,4,4,3,3,3,4,4,3,3,3,3,3,3,4,3,3,4,3,3,3,3
49,20/20,5,5,5,1,4,3,4,5,5,5,5,3,3,3,5,5,5,4,3,3,5,5,5,5,5,4
50,20/26,3,4,5,2,4,3,3,3,4,4,3,4,4,4,3,3,3,3,4,3,1,4,5,5,5,4
51,20/28,3,2,3,3,4,3,2,3,2,3,3,2,4,3,4,3,3,2,2,3,1,2,1,3,2,3
52,20/35,3,2,3,3,3,2,4,4,4,3,2,4,4,2,3,4,3,3,3,3,3,4,3,4,2,2
53,20/36,3,2,4,2,3,3,2,3,3,2,2,3,3,2,2,4,2,3,2,1,1,2,3,3,4,4
54,20/45,5,4,4,2,5,3,4,4,4,4,4,5,4,2,3,3,4,4,4,5,4,5,3,3,3,1
55,20/51,4,3,2,3,4,5,3,5,4,4,4,4,5,2,3,4,3,3,3,3,3,3,3,4,3,3
56,20/52,2,4,3,1,3,2,2,2,3,2,2,1,2,2,3,3,2,3,3,2,1,2,2,3,2,5
57,20/55,4,4,4,2,5,4,3,5,4,4,3,5,4,3,5,3,2,3,4,5,5,3,2,5,5,1
58,20/56,4,5,3,3,5,5,3,3,3,4,5,5,5,3,3,3,5,3,4,5,1,3,4,2,3,2
59,20/57,2,3,2,1,4,4,2,3,4,3,5,5,4,2,4,3,2,2,4,4,4,3,5,5,3,5
60,20/6,3,3,2,2,5,5,3,4,4,2,4,5,4,4,3,1,2,4,5,4,5,5,5,5,4,3
61,20/62,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4
62,20/64,2,2,4,1,3,3,2,3,3,4,4,5,5,3,3,4,3,3,2,4,1,3,4,4,4,2
63,20/65,3,1,5,1,3,3,3,2,3,1,1,5,5,4,2,5,3,3,1,2,1,3,5,5,5,4
64,20/70,3,4,2,1,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,4
65,20/71,3,3,3,2,4,5,3,3,3,3,5,5,3,4,3,3,3,3,4,3,3,4,4,4,4,4
66,20/72,3,3,4,2,4,5,4,4,3,3,4,3,4,4,4,3,3,4,5,1,1,4,4,5,5,3
67,20/76,3,3,3,2,3,4,3,3,3,3,5,5,4,4,4,3,4,2,4,4,4,4,4,4,4,2
68,20/77,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
69,20/78,3,4,3,1,4,4,4,5,3,5,5,5,4,4,4,4,5,5,4,3,1,5,1,4,1,3
70,20/8,3,3,3,3,4,5,3,3,3,4,4,3,4,3,4,5,3,3,4,5,1,5,5,3,5,3
71,20/80,4,4,5,1,4,3,3,4,4,3,4,5,3,3,3,3,4,3,3,4,1,4,2,4,1,4
72,20/84,5,3,4,1,5,5,4,5,5,4,5,5,5,5,4,5,4,5,5,4,1,5,5,5,5,1
73,20/87,4,3,4,2,4,4,3,3,3,3,3,4,4,3,4,4,3,3,3,4,1,4,4,4,4,4
74,20/89,3,2,4,1,3,4,3,3,3,3,3,3,2,3,3,3,3,2,3,3,2,2,3,3,1,3
75,20/91,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,3,3,3
76,20/95,4,5,5,1,5,4,4,5,4,5,4,5,3,4,4,5,4,4,4,5,3,5,5,5,5,1
77,17/14,5,4,2,1,5,5,4,4,4,5,5,4,3,3,4,5,4,4,4,4,4,3,4,4,4,2
78,17/15,4,3,2,3,3,3,2,4,3,2,3,4,2,3,4,2,3,3,2,3,4,4,3,2,3,2
79,17/18,4,4,3,3,4,4,4,3,3,4,4,4,3,2,3,4,3,4,3,5,3,4,4,3,4,3
80,17/2,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,4,1,3,4,4,4,3
81,17/23,3,2,3,1,4,5,3,4,4,4,4,5,3,2,3,3,4,4,5,3,3,5,5,5,3,4
82,17/27,4,4,3,1,4,4,3,3,3,3,5,5,4,3,3,2,2,3,3,3,1,3,4,5,3,2
83,17/28,4,4,1,1,4,3,4,5,4,5,5,3,5,1,3,5,5,5,5,5,5,5,5,5,5,3
84,17/29,5,5,1,1,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
85,17/3,4,4,3,2,4,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,4,4,4
86,17/30,4,5,2,1,5,5,3,4,5,5,5,4,4,2,3,3,2,5,5,5,5,4,5,5,5,5
87,17/31,4,4,2,1,5,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,4,3,5,5,2
88,17/32,2,2,2,1,1,1,2,3,3,2,2,1,4,1,2,2,2,2,1,1,1,3,3,3,2,4
89,17/34,3,3,2,2,3,3,3,4,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,4
90,17/35,4,3,1,1,5,4,3,5,4,1,4,3,5,5,5,3,4,3,2,4,5,3,5,4,4,2
91,17/36,2,2,1,2,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
92,17/37,3,4,4,2,4,4,3,4,3,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3
93,17/42,5,4,1,1,5,5,5,5,5,5,5,2,5,1,3,5,5,5,5,5,5,5,5,5,5,3
94,17/43,3,3,4,5,3,5,1,4,3,2,4,2,4,2,2,2,2,2,2,3,3,3,5,3,5,3
95,17/44,4,4,4,2,5,5,4,5,4,5,5,5,5,5,5,3,5,4,5,4,5,4,5,5,5,1
96,17/55,4,4,4,1,5,3,3,4,4,3,3,2,4,2,4,4,4,3,3,3,3,4,3,3,3,2
97,17/6,4,5,2,2,5,5,4,5,4,5,5,4,5,3,4,4,3,3,4,3,1,2,4,5,5,3
98,17/8,3,3,1,2,3,3,2,3,3,3,3,4,4,3,4,3,4,3,3,4,1,4,3,4,4,4
99,17/9,3,3,2,1,4,4,4,4,3,3,4,4,5,2,5,5,4,4,4,5,3,5,5,5,5,2
100,20/100,4,3,3,1,5,5,4,5,4,4,3,5,4,4,4,4,4,4,4,5,3,5,3,4,4,1
101,20/101,3,3,4,2,3,3,3,3,3,3,2,3,3,2,3,3,3,3,2,3,1,3,3,3,3,4
102,20/102,4,4,3,2,4,5,4,4,4,4,5,3,4,3,3,2,3,5,4,4,4,3,3,4,4,3
103,20/104,4,4,3,4,4,2,4,5,1,4,3,3,4,2,3,4,5,3,5,4,4,5,2,3,4,2
104,20/105,4,4,2,1,3,5,3,3,5,3,2,2,3,3,3,3,3,4,4,3,3,3,4,4,3,4
105,20/106,3,2,4,1,2,2,1,3,4,2,1,5,2,2,2,1,2,3,2,5,5,5,4,4,5,3
106,20/107,4,3,5,1,5,4,4,5,4,5,5,4,3,2,3,4,3,3,3,1,1,5,4,4,4,2
107,20/108,3,3,2,1,3,5,4,5,2,1,5,5,3,2,2,4,2,2,1,3,1,3,4,5,3,2
108,20/109,3,4,4,1,4,5,3,3,2,2,5,4,4,3,3,4,4,4,4,2,1,2,4,4,3,3
109,20/11,3,3,3,5,1,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,1,1,3,3,3,3
110,20/110,5,4,2,3,4,3,2,3,3,4,4,3,4,3,2,1,5,3,4,2,4,3,3,4,2,4
111,20/111,4,2,4,1,4,4,2,3,3,4,3,3,2,4,4,4,5,5,5,4,1,3,4,4,4,2
112,20/112,3,4,1,2,3,5,3,4,4,4,4,3,4,1,2,4,3,2,2,2,2,3,3,3,2,4
113,20/113,3,4,4,1,4,3,3,4,4,4,3,4,3,2,4,4,3,4,5,5,4,5,5,5,5,2
114,20/114,5,3,4,2,5,5,3,5,5,5,4,5,5,4,4,5,4,3,4,5,3,4,5,5,5,4
115,20/115,2,3,3,3,2,2,2,2,3,3,3,2,2,2,2,3,2,2,1,4,2,2,2,2,3,3
116,20/120,4,4,2,3,4,4,4,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
117,20/121,5,3,1,2,5,5,3,5,2,2,2,5,5,3,2,2,2,3,3,2,1,3,4,5,3,5
118,20/122,2,2,3,2,2,2,2,3,2,2,2,3,4,2,2,2,3,2,3,2,3,2,3,3,2,2
119,20/123,5,5,1,1,5,5,5,5,5,5,5,4,4,3,2,4,5,5,5,4,5,4,5,5,5,3
120,20/124,4,2,4,4,4,5,4,3,3,4,4,4,4,2,3,3,4,4,4,1,1,3,4,4,3,3
121,20/125,2,1,2,3,4,1,2,3,3,2,3,5,4,2,3,3,3,3,2,1,1,5,1,4,1,4
122,20/127,2,2,1,3,3,2,2,3,1,1,5,3,3,3,3,1,1,2,3,2,1,5,2,2,2,4
123,20/128,3,2,4,1,3,3,2,4,4,3,3,4,5,2,3,3,2,2,3,4,3,4,3,4,4,3
124,20/130,5,5,5,1,1,1,5,3,5,5,5,3,4,2,2,4,5,5,5,1,1,5,4,4,4,4
125,20/131,4,3,2,3,5,4,4,4,4,5,4,4,4,3,4,4,4,4,4,4,3,5,4,4,4,3
126,20/135,3,3,5,1,3,3,3,3,2,2,3,3,2,3,3,3,3,2,3,3,2,4,3,4,4,3
127,20/136,3,2,3,1,4,3,2,3,2,2,2,3,2,2,3,4,3,3,3,4,4,4,3,3,3,3
128,20/137,4,3,4,2,5,5,3,5,3,3,5,3,3,5,3,3,4,4,5,4,3,5,3,4,3,2
129,20/138,3,1,4,1,3,2,2,3,3,4,1,5,4,3,3,4,4,3,2,2,2,4,3,4,3,3
130,20/139,1,5,1,2,2,2,2,2,4,3,4,3,5,3,3,3,4,3,4,3,4,3,2,1,1,1
131,20/14,3,4,4,4,2,3,3,4,3,3,5,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3
132,20/15,3,3,3,1,2,3,1,2,3,2,3,1,2,1,1,2,2,2,1,1,1,2,2,2,2,3
133,20/17,3,2,3,3,3,3,2,3,3,4,1,3,3,4,3,4,4,4,3,4,4,4,4,4,4,1
134,20/2,4,3,3,1,3,3,3,4,4,4,2,5,5,4,3,3,3,4,4,4,3,5,4,4,4,4
135,20/21,4,2,2,1,3,3,2,5,4,3,4,4,5,3,2,4,3,4,3,1,3,5,5,5,5,4
136,20/22,4,4,4,1,4,5,3,3,3,3,4,2,4,2,4,5,3,3,3,4,5,5,4,3,3,4
137,20/23,3,3,5,2,3,3,2,5,3,5,3,5,5,5,5,5,3,3,3,1,1,3,5,5,5,5
138,20/24,3,2,3,1,4,4,3,4,3,3,5,4,4,4,3,3,4,4,4,4,4,3,4,3,4,2
139,20/25,4,3,1,1,4,4,4,4,3,3,3,5,4,3,4,2,2,5,4,1,1,4,4,2,4,1
140,20/27,5,5,1,3,5,5,4,5,4,5,5,5,4,5,4,4,5,5,4,4,5,5,4,4,4,4
141,20/29,4,3,4,1,5,4,3,4,3,2,3,2,5,3,3,5,3,3,4,4,5,4,5,4,5,4
142,20/3,5,2,2,1,4,1,2,4,4,2,3,5,5,3,3,3,2,1,1,4,1,4,4,4,5,4
143,20/30,5,5,3,1,5,3,4,4,4,3,2,3,4,3,4,3,4,5,5,2,1,5,4,4,3,4
144,20/31,3,5,3,3,3,2,2,3,1,3,2,3,3,1,3,3,3,2,2,2,3,2,2,3,1,2
145,20/32,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
146,20/33,4,3,2,1,3,4,3,4,5,3,1,3,3,2,2,4,3,3,3,3,1,2,4,5,1,4
147,20/34,3,3,4,2,2,3,3,4,3,2,2,2,5,3,2,4,3,3,4,2,4,4,1,2,2,4
148,20/37,3,3,4,1,4,3,3,4,4,2,3,2,3,3,4,2,2,3,3,1,1,5,3,4,3,3
149,20/38,1,1,1,3,1,1,3,1,1,1,3,1,2,1,3,1,1,1,1,1,1,1,1,1,1,5
150,20/39,3,3,3,1,3,3,2,3,3,3,3,3,4,2,3,4,3,3,3,3,3,3,3,3,3,3
151,20/4,3,4,3,2,3,2,2,4,4,4,2,3,4,3,3,4,3,2,3,2,1,3,4,4,4,3
152,20/40,3,3,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,4,3,3
153,20/41,2,2,3,4,2,2,2,4,4,3,3,4,4,5,4,5,3,2,2,4,1,3,5,4,4,4
154,20/42,3,3,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,2,2,3,2,3,4,1,3,2
155,20/43,3,4,4,3,4,4,4,4,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3
156,20/44,4,4,3,2,5,4,4,4,4,4,3,4,3,3,4,4,5,3,4,5,1,5,4,4,3,2
157,20/46,3,3,5,1,3,2,2,3,4,3,3,2,3,3,4,3,3,3,2,2,1,3,3,5,4,4
158,20/47,4,3,2,2,5,5,4,5,4,4,3,4,4,3,3,5,4,4,4,4,1,4,5,5,5,2
159,20/48,4,4,2,1,3,4,4,5,4,3,3,1,2,3,3,3,4,4,4,3,4,4,4,4,4,4
160,20/49,1,2,4,3,3,3,4,3,3,2,5,4,5,1,2,1,2,3,3,3,1,5,3,3,1,1
161,20/5,3,2,5,1,3,4,3,5,4,4,1,5,5,1,2,5,1,1,1,1,1,4,1,5,4,1
162,20/50,4,4,4,2,4,4,3,4,4,4,4,3,3,3,3,3,3,4,4,4,3,4,3,3,3,3
163,20/53,5,3,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1
164,20/54,2,4,4,4,2,3,3,2,4,2,3,3,4,2,3,3,3,4,3,2,4,3,2,4,4,3
165,20/58,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
166,20/59,3,2,4,2,4,4,3,4,3,3,3,3,3,3,3,2,3,3,4,4,5,5,2,3,3,2
167,20/60,1,3,4,1,4,2,2,4,3,1,1,1,5,3,3,3,3,1,5,2,4,2,5,1,3,2
168,20/61,4,2,2,4,2,2,4,2,4,2,5,1,4,3,4,2,4,2,4,2,4,2,4,2,4,2
169,20/63,3,2,3,1,3,4,3,3,3,1,4,1,2,3,3,1,3,3,3,4,5,3,4,5,3,4
170,20/66,3,1,3,2,3,5,3,3,2,3,4,4,4,4,3,4,3,3,2,2,1,4,4,4,3,4
171,20/67,4,4,3,3,4,3,4,3,3,3,3,2,3,3,4,3,4,3,4,3,4,3,4,3,3,3
172,20/68,3,4,5,1,4,5,3,5,3,2,5,1,5,3,4,1,1,1,1,4,1,5,1,3,3,1
173,20/69,4,3,4,2,5,5,4,4,4,4,5,2,4,3,4,1,4,3,3,4,1,5,5,4,4,5
174,20/7,1,1,1,5,1,1,2,2,1,1,2,1,3,1,1,1,1,1,1,5,1,4,1,1,3,3
175,20/73,3,2,1,3,3,1,1,2,3,1,1,1,2,1,1,1,1,5,1,4,1,5,3,3,1,4
176,20/74,2,1,3,5,2,3,1,3,2,1,1,3,3,3,3,3,2,2,2,1,2,3,3,3,3,3
177,20/75,4,4,3,2,3,3,3,3,4,2,2,3,2,3,2,2,3,3,2,2,3,3,3,2,3,3
178,20/79,1,3,4,3,3,4,3,3,3,3,1,1,2,2,3,3,1,2,1,2,1,3,1,2,1,3
179,20/81,3,3,5,1,3,5,2,5,4,2,5,1,5,3,3,1,1,1,1,1,1,4,1,3,3,3
180,20/82,1,2,4,1,3,5,4,5,4,3,2,4,2,4,1,4,2,2,2,1,1,5,5,5,3,2
181,20/83,5,4,3,1,4,5,4,5,4,5,4,5,5,3,3,1,5,4,4,2,2,3,4,5,4,2
182,20/85,3,3,3,1,4,3,2,4,3,4,2,1,3,3,3,2,3,3,3,3,3,3,2,3,2,3
183,20/86,4,3,2,3,4,3,3,4,3,1,4,4,3,4,4,2,4,2,4,2,4,2,2,2,3,4
184,20/88,4,3,4,1,4,4,3,4,4,5,2,1,2,2,2,2,4,3,3,2,1,2,2,2,3,2
185,20/9,2,2,4,1,1,2,1,5,2,4,3,5,3,3,3,4,4,4,4,3,2,4,4,4,4,4
186,20/90,4,3,3,1,4,4,3,3,3,4,4,5,4,3,3,4,4,4,4,1,1,4,4,4,4,5
187,20/92,5,3,3,3,3,4,2,3,4,3,4,2,4,3,4,3,5,4,4,3,4,3,4,4,3,4
188,20/93,3,3,3,1,2,3,2,2,2,3,4,3,3,3,2,1,2,3,4,4,4,2,3,4,4,5
189,20/94,4,5,5,2,4,4,4,5,5,3,3,5,4,4,2,2,3,4,4,2,1,4,4,5,4,4
190,20/96,2,2,4,1,2,2,2,1,5,4,4,2,2,4,2,2,2,3,3,1,1,2,2,4,3,4
191,20/97,5,4,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
192,20/98,3,3,3,1,4,3,2,3,4,1,1,1,3,1,2,1,4,5,3,5,5,5,3,4,3,5
193,20/99,3,4,2,1,4,4,5,3,4,3,3,4,3,3,2,3,4,4,3,2,2,4,3,4,4,2
